name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 35","Luyện tập","150","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","151","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","152","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","153","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","154","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","155","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","156","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","157","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","158","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","159","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","160","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson40,'}}"
"Cặp từ vựng trái nghĩa N2 tập 3","Học theo các cặp từ trái nghĩa rất dễ thuộc dễ nhớ","vocabulary","N2","4102","41","41","","","Bài 1","Từ vựng","161","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","162","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","163","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","164","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","165","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","166","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","167","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson4,'}}"
